4110, -5.23, 3.27, 0.63, 0.67, 9.53
4141, -4.94, 3.06, 0.63, 0.35, 9.92
4171, -5.04, 2.89, 0.98, 0.39, 10.20
4202, -5.38, 2.59, 1.14, 0.20, 9.38
4233, -5.56, 2.72, 1.10, 0.59, 10.08
4263, -5.55, 2.98, 0.90, 0.75, 9.96
4293, -5.41, 3.17, 0.78, 0.71, 9.73
4324, -5.41, 2.91, 0.94, 0.31, 10.16
4367, -5.42, 2.81, 0.98, 0.43, 10.12
4401, -5.60, 2.54, 1.10, 0.24, 9.92
4440, -4.90, 2.58, 0.35, 0.51, 10.63
4469, -4.97, 2.89, 0.94, 0.71, 9.81
4500, -5.04, 3.02, 0.98, 0.59, 10.00
4531, -5.26, 2.48, 1.14, 0.00, 9.89
4561, -5.47, 2.35, 1.18, 0.31, 9.89
4592, -5.59, 2.58, 1.10, 0.63, 9.61
4623, -5.80, 2.81, 1.26, 0.67, 9.92
4653, -5.35, 3.11, 0.59, 0.82, 10.16
4683, -3.85, 2.80, -0.59, 0.24, 9.57
4714, -3.15, 2.13, -0.04, -0.16, 10.08
4745, -2.93, 2.14, 0.35, 0.39, 10.04
4775, -2.93, 2.62, 0.51, 0.82, 9.61
4808, -3.02, 3.10, 0.63, 0.90, 10.04
4843, -3.16, 3.05, 0.67, 0.47, 9.77
4883, -3.36, 2.62, 0.75, 0.16, 10.00
4914, -3.58, 2.38, 0.82, 0.24, 10.16
4944, -3.64, 2.39, 0.67, 0.39, 9.53
4975, -3.77, 2.59, 0.78, 0.63, 10.04
5006, -3.75, 2.99, 0.67, 0.82, 9.96
5036, -3.47, 3.10, 0.39, 0.59, 9.45
5066, -3.69, 2.86, 0.86, 0.27, 10.32
5097, -4.14, 2.96, 1.06, 0.55, 9.85
5128, -4.44, 2.97, 0.98, 0.51, 9.69
5158, -5.97, -0.69, 2.31, -2.79, 8.83
5189, -5.89, 0.81, 0.90, 1.53, 10.47
5220, -4.52, 2.83, -0.39, 2.24, 10.32
5251, -3.82, 2.57, 0.08, 0.27, 10.55
5301, -4.62, 1.39, 1.33, -0.55, 9.57
5331, -4.69, 1.18, 0.82, 0.04, 9.14
5362, -5.81, 3.91, 2.08, 2.55, 9.10
5393, -6.49, 3.98, 1.53, 0.67, 9.10
5424, -11.18, 3.90, 4.00, 0.39, 6.55
5454, -6.46, 3.19, -2.90, -0.04, 10.00
5484, -4.39, 2.62, -1.06, -0.04, 10.40
5515, -2.55, 2.71, -1.22, 0.63, 11.65
5545, -3.93, 2.31, 1.29, 0.04, 6.75
5576, -2.09, 2.00, -1.22, 0.16, 11.38
5607, -1.05, 2.54, -0.31, 1.06, 11.96
5638, 0.08, 3.47, -0.90, 1.65, 12.04
5668, -0.25, 3.37, 0.39, 0.55, 10.36
5699, -0.38, 3.09, 0.24, 0.35, 10.59
5727, -0.47, 3.22, 0.20, 0.67, 10.08
5757, -1.27, 3.59, 0.78, 0.90, 9.22
5788, -1.81, 2.98, 0.78, 0.04, 9.61
5819, -2.76, 2.90, 1.37, 0.47, 10.43
5850, -3.76, 2.64, 1.26, 0.24, 8.98
5879, -2.52, 2.40, -0.55, 0.20, 9.06
5910, -2.75, 1.58, 0.71, -0.35, 9.96
5941, -3.28, 1.44, 1.14, 0.16, 10.79
5971, -3.56, 1.15, 0.78, 0.00, 9.22
6001, -4.15, 1.24, 1.22, 0.31, 10.08
6032, -3.62, 1.21, 0.12, 0.27, 10.51
6063, -3.43, 0.98, 0.47, 0.00, 10.12
6092, -3.93, 0.89, 1.22, 0.16, 10.51
6132, -4.88, 1.38, 1.69, 0.67, 10.24
6163, -5.35, 1.62, 1.29, 0.51, 10.04
6210, -4.03, 2.63, -0.31, 1.37, 11.69
6241, -6.40, 2.52, 3.02, 0.35, 10.28
6272, -4.95, 3.18, -0.35, 1.22, 11.26
6302, -3.58, 2.61, -0.47, -0.04, 10.28
6333, -4.05, 1.56, 1.10, -0.51, 10.00
6364, -4.36, 1.83, 0.94, 0.55, 10.28
6394, -2.49, 2.43, -0.90, 1.14, 12.59
6425, -4.43, 2.15, 2.08, 0.16, 9.14
6455, -3.78, 1.70, 0.16, -0.08, 10.08
6486, -4.78, 2.10, 1.80, 0.75, 10.59
6516, -5.37, 2.06, 1.41, 0.35, 10.43
6555, -6.61, 2.49, 1.80, 0.67, 9.30
6585, -7.35, 1.82, 1.73, -0.27, 9.85
6616, -10.17, 2.06, 3.22, 0.39, 7.49
6646, -7.83, 2.02, -0.55, 0.39, 11.45
6677, -7.08, 2.16, 0.71, 0.55, 10.40
6708, -6.51, 3.05, 0.71, 1.18, 9.65
6738, -6.40, 2.86, 1.06, 0.31, 9.92
6771, -5.59, 2.64, 0.59, 0.27, 8.55
6806, -3.36, 3.60, -1.45, 1.53, 11.14
6837, -2.00, 4.27, -0.78, 1.26, 10.51
6867, -0.80, 3.81, -0.75, 0.20, 9.61
6897, -1.80, 4.60, 1.14, 1.37, 9.81
6928, -3.49, 4.25, 2.20, 0.47, 10.87
6959, -3.46, 4.14, 0.55, 0.63, 10.40
7000, -4.58, 3.78, 1.45, 0.35, 9.34
7031, -4.75, 3.58, 0.90, 0.43, 10.20
7075, -5.30, 3.12, 1.29, 0.20, 10.12
7111, -6.64, 3.34, 1.73, 0.78, 10.12
7143, -6.78, 3.05, 1.18, 0.27, 9.69
7175, -6.48, 3.01, 0.90, 0.55, 10.47
7206, -6.29, 2.85, 0.86, 0.35, 9.73
7238, -6.42, 2.60, 1.29, 0.27, 10.36
7270, -6.57, 2.96, 1.18, 0.75, 9.53
7302, -6.06, 2.98, 0.59, 0.59, 10.59
7333, -5.72, 2.61, 0.63, 0.16, 9.38
7365, -5.54, 2.65, 0.82, 0.51, 10.12
7397, -5.53, 2.80, 0.94, 0.63, 10.00
7429, -5.46, 2.68, 0.86, 0.39, 9.65
7468, -5.17, 2.71, 0.67, 0.51, 10.08
7497, -4.94, 2.92, 0.67, 0.67, 9.85
7528, -4.96, 3.06, 0.86, 0.63, 9.92
7558, -4.78, 2.91, 0.67, 0.39, 9.69
7587, -4.28, 2.52, 0.35, 0.12, 9.77
7617, -4.29, 2.66, 0.75, 0.59, 9.89
7648, -4.42, 2.95, 0.90, 0.78, 10.12
7677, -4.43, 3.03, 0.75, 0.55, 9.61
7707, -4.24, 2.65, 0.59, 0.16, 9.81
7737, -4.19, 2.61, 0.71, 0.43, 10.04
7768, -4.12, 2.79, 0.67, 0.63, 9.92
7797, -4.10, 2.96, 0.71, 0.63, 9.81
7836, -4.47, 2.56, 0.71, 0.12, 8.36
7875, -4.65, 2.42, 0.98, 0.31, 10.20
7906, -4.62, 2.50, 0.78, 0.51, 9.96
7937, -4.65, 2.82, 0.86, 0.75, 10.00
7966, -4.56, 2.90, 0.67, 0.55, 9.41
7997, -4.62, 2.81, 0.90, 0.43, 10.28
8027, -4.49, 2.67, 0.67, 0.35, 9.92
8057, -4.55, 2.93, 0.82, 0.67, 9.92
8087, -4.68, 2.38, 0.94, 0.00, 9.57
8118, -2.22, 2.00, -2.51, 0.12, 14.16
8147, -4.79, 4.18, 1.88, 1.61, 6.47
8178, -10.76, 3.05, 4.86, -0.24, 6.12
8209, -8.24, 2.75, -0.67, 0.27, 11.18
8240, -7.93, 3.41, 0.98, 0.98, 8.90
8269, -13.17, 4.02, 5.45, 0.86, 7.37
8307, -11.54, 2.89, 0.78, -0.35, 11.22
8338, -8.31, 2.51, -0.98, 0.16, 11.02
8369, -8.10, 2.81, 1.22, 0.71, 10.24
8398, -4.84, 2.76, -1.65, 0.47, 10.87
8429, -3.08, 3.68, -1.02, 1.53, 11.26
8460, -6.29, 4.33, 3.14, 1.10, 8.67
8491, -8.69, 1.86, 0.98, -0.55, 3.33
8520, -6.26, 2.60, -0.86, 1.18, 11.14
8551, -8.28, 1.88, 6.55, -0.35, 19.34
8581, -6.61, 4.93, -0.43, 4.55, 13.34
8611, -13.94, 5.58, 8.51, 1.02, 6.98
8642, -23.11, -16.90, 3.06, -1.84, -1.02
8672, -13.95, -12.38, -14.63, 3.77, 20.04
8712, -6.59, -2.87, -5.02, 4.47, 5.41
8749, 0.28, 6.92, -2.55, 7.65, 6.98
8798, 12.73, 5.76, -15.22, 0.12, 20.04
8828, 0.27, -24.36, 20.04, -9.85, -16.32
8859, -9.90, -50.05, 20.04, -6.51, -13.53
8890, -19.05, -67.91, 20.04, -4.55, -5.06
8921, -7.44, -54.77, -13.10, 4.20, 20.04
8951, -16.78, -64.04, 4.55, -2.04, -0.27
8982, -10.84, -52.43, -7.30, 2.75, 20.04
9013, -13.03, -43.03, 5.14, 1.29, 12.24
9043, -9.87, -34.58, -2.24, 2.28, 15.30
9074, -9.70, -27.28, 1.45, 2.31, 14.08
